"REF_DATE","GEO","DGUID","Area, production and farm value of potatoes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1909","Manitoba","2016A000246","Average yield","Hundredweight per harvested acres","159","units","0","v47157","8.2","119.4","","","","1"
"1909","Manitoba","2016A000246","Production","Hundredweight","156","thousands","3","v47168","8.3","2471","","","","0"
"1909","Manitoba","2016A000246","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47179","8.4","0.53","","","t","2"
"1909","Manitoba","2016A000246","Total farm value, potatoes","Dollars","81","thousands","3","v47190","8.5","1318","","","t","0"
"1909","Saskatchewan","2016A000247","Seeded area","Acres","28","units","0","v47147","9.1","16800","","","","0"
"1909","Saskatchewan","2016A000247","Average yield","Hundredweight per harvested acres","159","units","0","v47158","9.2","140.8","","","","1"
"1909","Saskatchewan","2016A000247","Production","Hundredweight","156","thousands","3","v47169","9.3","2366","","","","0"
"1909","Saskatchewan","2016A000247","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47180","9.4","0.63","","","t","2"
"1909","Saskatchewan","2016A000247","Total farm value, potatoes","Dollars","81","thousands","3","v47191","9.5","1499","","","t","0"
"1909","Alberta","2016A000248","Seeded area","Acres","28","units","0","v47148","10.1","15000","","","","0"
"1909","Alberta","2016A000248","Average yield","Hundredweight per harvested acres","159","units","0","v47159","10.2","104.0","","","","1"
"1909","Alberta","2016A000248","Production","Hundredweight","156","thousands","3","v47170","10.3","1560","","","","0"
"1909","Alberta","2016A000248","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47181","10.4","0.65","","","t","2"
"1909","Alberta","2016A000248","Total farm value, potatoes","Dollars","81","thousands","3","v47192","10.5","1014","","","t","0"
"1910","Canada","2016A000011124","Seeded area","Acres","28","units","0","v47140","1.1","464500","","","","0"
"1910","Canada","2016A000011124","Average yield","Hundredweight per harvested acres","159","units","0","v47151","1.2","71.6","","","","1"
"1910","Canada","2016A000011124","Production","Hundredweight","156","thousands","3","v47162","1.3","33277","","","","0"
"1910","Canada","2016A000011124","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47173","1.4","0.82","","","t","2"
"1910","Canada","2016A000011124","Total farm value, potatoes","Dollars","81","thousands","3","v47184","1.5","27427","","","t","0"
"1910","Prince Edward Island","2016A000211","Seeded area","Acres","28","units","0","v47141","3.1","30600","","","","0"
"1910","Prince Edward Island","2016A000211","Average yield","Hundredweight per harvested acres","159","units","0","v47152","3.2","82.4","","","","1"
"1910","Prince Edward Island","2016A000211","Production","Hundredweight","156","thousands","3","v47163","3.3","2522","","","","0"
